Illumina Inc. BeadStudio version 1.9.0.24624				
Normalization = none				
Array Content = HumanHT-12_V4_0_R2_15002873_B.bgx				
Error Model = Illumina custom				
DateTime = 02/24/2016 05:00 PM				
Local Settings = en-US				
				
PROBE_ID	KHYG1_ctrl_a.AVG_Signal	KHYG1_ctrl_a.Avg_NBEADS	KHYG1_ctrl_a.BEAD_STDERR	KHYG1_ctrl_a.Detection Pval
ILMN_1762337	95.62144	20	2.557569	0.4844156
ILMN_2055271	105.0322	21	2.766395	0.04805195
ILMN_1736007	93.39525	21	2.908155	0.674026
ILMN_2383229	93.45425	25	2.300877	0.6688312
ILMN_1806310	94.01431	20	2.56867	0.6207792
ILMN_1779670	93.71358	19	2.543392	0.651948
ILMN_1653355	100.0506	24	2.705869	0.1727273
ILMN_1717783	86.75446	16	3.442454	0.987013
ILMN_1705025	98.02913	25	4.036742	0.2805195
ILMN_1814316	96.93039	25	2.687471	0.3688312
ILMN_2359168	91.7255	27	2.504776	0.8077922
ILMN_1731507	86.3547	18	2.607571	0.9909091
ILMN_1787689	94.41957	18	3.713033	0.5831169
ILMN_3241953	154.9346	17	6.589711	0
ILMN_1745607	90.75961	29	2.55919	0.8753247
ILMN_2136495	93.00559	19	5.10121	0.7116883
ILMN_1668111	97.83727	20	1.798825	0.2974026
ILMN_2295559	100.6232	13	4.088526	0.151948
ILMN_1735045	90.88708	28	2.154293	0.864935
ILMN_1680754	106.3085	18	2.862585	0.03766234
ILMN_2375184	96.03054	21	2.795112	0.4428571
ILMN_1659452	99.59638	19	3.742311	0.1935065
ILMN_1767388	101.9718	24	4.874312	0.1077922
ILMN_1675204	93.48942	23	2.561074	0.6649351
ILMN_1673870	96.84669	26	2.515954	0.3727273
ILMN_1755321	129.5886	30	3.464174	0
ILMN_1698554	144.4913	22	4.901789	0
ILMN_1814092	106.4648	26	3.86332	0.03636364
ILMN_1760414	95.26231	23	2.273062	0.5168831
ILMN_2061446	160.5208	16	6.031935	0
ILMN_1676336	130.2446	19	3.72689	0
ILMN_1752884	92.59524	19	3.047909	0.7454545
ILMN_1660703	93.20464	18	2.691245	0.6948052
ILMN_1668851	99.91603	14	3.747515	0.1779221
ILMN_2270015	105.1463	19	6.154107	0.04805195
ILMN_1809959	90.38944	35	1.876729	0.8935065
ILMN_2357031	92.17672	20	3.244327	0.7831169
