Illumina Inc. BeadStudio version 1.9.0.24624				
Normalization = none				
Array Content = HumanHT-12_V4_0_R2_15002873_B.bgx				
Error Model = Illumina custom				
DateTime = 02/24/2016 05:00 PM				
Local Settings = en-US				
				
PROBE_ID	KHYG1_ctrl_b.AVG_Signal	KHYG1_ctrl_b.Avg_NBEADS	KHYG1_ctrl_b.BEAD_STDERR	KHYG1_ctrl_b.Detection Pval
ILMN_1762337	99.23399	25	2.374359	0.238961
ILMN_2055271	109.8279	20	3.431412	0.01818182
ILMN_1736007	96.2837	18	3.104664	0.4662338
ILMN_2383229	98.11689	20	2.869044	0.3038961
ILMN_1806310	95.88213	23	2.324749	0.5142857
ILMN_1779670	95.54821	22	3.197577	0.5441558
ILMN_1653355	101.6156	19	4.18093	0.1350649
ILMN_1717783	91.88911	23	2.587154	0.8467532
ILMN_1705025	96.45467	21	3.865243	0.448052
ILMN_1814316	94.94755	15	3.175731	0.6051948
ILMN_2359168	95.07093	33	2.760006	0.5961039
ILMN_1731507	90.84194	22	2.812641	0.8987013
ILMN_1787689	92.98849	17	2.990948	0.774026
ILMN_3241953	149.2161	25	4.88628	0
ILMN_1745607	93.01252	30	2.205934	0.774026
ILMN_2136495	92.96663	17	2.398059	0.774026
ILMN_1668111	88.60741	17	3.155313	0.9649351
ILMN_2295559	96.84149	16	2.86253	0.4090909
ILMN_1735045	93.83174	14	2.747079	0.7090909
ILMN_1680754	108.1619	12	3.898663	0.02467532
ILMN_2375184	91.8517	20	2.279548	0.8467532
ILMN_1659452	103.656	20	3.511313	0.08051948
ILMN_1767388	98.0806	23	2.276021	0.3051948
ILMN_1675204	97.368	20	2.863852	0.361039
ILMN_1673870	92.82231	18	2.771584	0.7818182
ILMN_1755321	117.4963	18	3.621695	0.002597403
ILMN_1698554	144.799	25	3.359524	0
ILMN_1814092	112.8787	23	3.68221	0.007792208
ILMN_1760414	97.69579	26	2.253582	0.338961
ILMN_2061446	167.8552	19	5.481678	0
ILMN_1676336	126.8715	27	3.825243	0
ILMN_1752884	98.81235	25	3.375663	0.2688312
ILMN_1660703	96.90694	25	2.891263	0.4051948
ILMN_1668851	90.88627	14	2.129439	0.8961039
ILMN_2270015	107.5493	18	4.664209	0.02727273
ILMN_1809959	92.68916	18	3.282338	0.7896104
ILMN_2357031	89.29543	23	2.399062	0.9532468
ILMN_1726986	102.993	26	2.948932	0.1012987
ILMN_3237396	204.1675	29	6.112351	0
ILMN_1688755	166.2044	20	5.15259	0
ILMN_1880387	90.93404	29	2.028251	0.8935065
ILMN_1689211	92.57464	25	1.951569	0.7974026
ILMN_1653165	150.2339	20	5.173383	0
ILMN_1729835	87.83958	17	2.416791	0.9818182
ILMN_1662364	1658.268	26	48.29779	0
ILMN_1674698	160.5369	30	3.346179	0
ILMN_1700461	369.0559	24	17.49276	0
ILMN_1784269	126.5759	25	4.450831	0
ILMN_1698189	170.2894	19	8.152826	0
ILMN_2096191	431.2423	27	16.80926	0
ILMN_1678323	99.84155	24	3.248889	0.2103896
ILMN_2157219	99.7121	22	2.435609	0.2142857
ILMN_1703743	435.4623	31	12.80973	0
ILMN_1687609	99.52911	23	2.598219	0.2285714
ILMN_2068874	96.14569	20	4.748506	0.4857143
ILMN_1699334	113.0773	20	4.149598	0.007792208
ILMN_1670117	96.78873	14	3.580007	0.4103896
ILMN_1805104	91.80975	19	3.00382	0.851948
ILMN_2404407	92.2039	19	2.713179	0.8233766
ILMN_1766054	90.41158	21	2.504468	0.9142857
ILMN_1753388	98.16576	17	2.958312	0.3025974
ILMN_2070570	96.61894	23	2.638698	0.4324675
ILMN_2232084	104.8747	15	3.071337	0.05584415
ILMN_1750250	91.25423	23	2.980866	0.8779221
ILMN_2361400	93.29294	26	2.954779	0.7506493
ILMN_1704579	88.8202	15	2.432152	0.9623377
ILMN_1687636	96.57979	23	1.868202	0.438961
ILMN_1747627	111.4822	21	3.065748	0.01168831
ILMN_1758523	129.3615	17	3.683962	0
ILMN_1794965	97.37685	14	3.547267	0.361039
ILMN_1722286	96.44675	18	3.322831	0.448052
ILMN_1784176	88.17967	18	2.193066	0.974026
ILMN_1749001	93.47911	21	1.965769	0.7324675
ILMN_1701551	98.99718	21	2.998139	0.2558441
ILMN_1795507	98.99846	16	3.471489	0.2558441
ILMN_1729894	92.88454	31	2.316208	0.7779221
ILMN_1743205	638.8276	22	26.02791	0
ILMN_2259319	95.06908	16	3.120601	0.5974026
ILMN_2129886	97.28055	12	3.576288	0.3714286
ILMN_1796801	105.9402	26	2.957658	0.04155844
ILMN_1720501	100.4529	29	2.490175	0.1831169
ILMN_1668446	91.82258	13	1.960727	0.8493506
ILMN_1812070	121.5235	16	2.800972	0
ILMN_2094875	102.4734	22	3.685053	0.1142857
ILMN_1665730	201.5668	19	10.58503	0
ILMN_2232066	96.06854	17	2.843982	0.4948052
ILMN_1767349	92.65204	17	2.769981	0.7896104
ILMN_1658257	88.68872	23	2.847734	0.9649351
ILMN_2193980	103.3717	15	2.597632	0.09220779
ILMN_1687840	180.4228	26	5.986451	0
ILMN_2102422	95.75893	15	4.403006	0.5194805
ILMN_1788928	109.3835	20	4.539185	0.01948052
ILMN_2343047	97.90485	30	2.659549	0.3233766
ILMN_2343048	93.48434	12	4.910184	0.7324675
ILMN_2335302	94.95996	22	3.27874	0.6038961
ILMN_1802404	100.8329	22	3.384516	0.1675325
ILMN_1776119	101.6276	17	2.509506	0.1350649
ILMN_2358714	91.24725	18	2.820844	0.8779221
ILMN_1732140	114.2759	23	5.330435	0.007792208
ILMN_1713008	95.90794	26	3.018302	0.5116883
ILMN_1762093	101.2804	22	4.361137	0.1454545
ILMN_1709092	93.49016	25	2.914283	0.7324675
ILMN_1678409	97.89442	15	3.213115	0.3246753
ILMN_1774344	101.8856	35	2.089772	0.1246753
ILMN_1676278	95.15646	19	1.970149	0.5818182
ILMN_1717466	105.8108	23	3.410293	0.04415584
ILMN_1677814	99.56201	27	2.453113	0.225974
ILMN_1788457	153.1543	25	3.694731	0
ILMN_2194009	167.946	29	4.789215	0
ILMN_2302358	98.91516	30	2.78514	0.261039
ILMN_1706531	148.6624	21	6.108646	0
ILMN_1651964	125.9708	26	3.738006	0
ILMN_1725675	103.1971	26	2.378065	0.0948052
ILMN_1778352	96.26689	29	2.412054	0.4701299
ILMN_1725414	99.39342	29	2.53858	0.2311688
ILMN_2293902	91.28053	22	2.865119	0.8779221
ILMN_1801521	99.48834	21	2.843192	0.2311688
ILMN_2406654	97.81454	21	1.872647	0.3311688
ILMN_3246902	97.31039	25	1.327052	0.3662338
ILMN_3244070	103.2058	17	4.429681	0.0948052
