Illumina Inc. BeadStudio version 1.9.0.24624				
Normalization = none				
Array Content = HumanHT-12_V4_0_R2_15002873_B.bgx				
Error Model = Illumina custom				
DateTime = 02/24/2016 05:00 PM				
Local Settings = en-US				
				
PROBE_ID	KHYG1_ctrl_c.AVG_Signal	KHYG1_ctrl_c.Avg_NBEADS	KHYG1_ctrl_c.BEAD_STDERR	KHYG1_ctrl_c.Detection Pval
ILMN_1762337	100.8745	21	3.080994	0.3012987
ILMN_2055271	118.61	20	3.83886	0.003896104
ILMN_1736007	92.41988	19	2.699183	0.938961
ILMN_2383229	99.57433	12	4.416665	0.4025974
ILMN_1806310	103.9011	23	2.298635	0.1584416
ILMN_1779670	95.58213	16	2.876562	0.7532467
ILMN_1653355	103.9372	22	3.07916	0.1571429
ILMN_1717783	99.69601	30	2.819345	0.3935065
ILMN_1705025	102.3214	24	2.931891	0.2181818
ILMN_1814316	96.51639	22	2.56315	0.6727273
ILMN_2359168	95.58275	33	2.035202	0.7532467
ILMN_1731507	95.65372	20	3.483738	0.7441558
ILMN_1787689	98.61075	20	2.420751	0.4831169
ILMN_3241953	169.6056	19	6.92377	0
ILMN_1745607	99.16646	20	4.250039	0.4298701
ILMN_2136495	88.7468	15	3.817376	0.9935065
ILMN_1668111	96.79784	21	3.538884	0.6493506
ILMN_2295559	91.86976	18	2.526089	0.9597403
ILMN_1735045	97.57944	19	2.652357	0.5844156
ILMN_1680754	100.4497	12	3.739419	0.3207792
ILMN_2375184	95.32913	18	2.562814	0.7818182
ILMN_1659452	105.2482	19	3.221939	0.1051948
ILMN_1767388	103.5516	33	3.134432	0.1662338
ILMN_1675204	95.66437	24	2.219244	0.7441558
ILMN_1673870	92.05431	23	2.327298	0.9545454
ILMN_1755321	134.4281	21	4.229643	0
ILMN_1698554	157.0036	21	3.810836	0
ILMN_1814092	104.8868	17	1.880002	0.1207792
ILMN_1760414	99.04018	18	2.040403	0.438961
ILMN_2061446	175.1473	16	9.38281	0
ILMN_1676336	135.0979	26	3.74185	0
ILMN_1752884	98.25917	29	2.783806	0.5155844
ILMN_1660703	100.3806	17	4.378787	0.325974
ILMN_1668851	96.04802	19	3.608395	0.7090909
ILMN_2270015	101.8819	22	2.653557	0.2519481
ILMN_1809959	95.81882	23	3.843932	0.7298701
ILMN_2357031	90.6016	24	2.997045	0.9805195
ILMN_1726986	103.6906	17	4.893518	0.1649351
ILMN_3237396	229.2685	24	8.811135	0
ILMN_1688755	180.5613	25	6.210928	0
ILMN_1880387	93.66187	18	3.04498	0.8961039
ILMN_1689211	92.71088	21	2.199482	0.9311689
ILMN_1653165	167.0414	21	5.49418	0
ILMN_1729835	98.48222	18	2.396094	0.4961039
ILMN_1662364	1834.85	26	52.05867	0
