Illumina Inc. BeadStudio version 1.9.0.24624				
Normalization = none				
Array Content = HumanHT-12_V4_0_R2_15002873_B.bgx				
Error Model = Illumina custom				
DateTime = 02/24/2016 05:00 PM				
Local Settings = en-US				
				
PROBE_ID	KHYG1_si308_a.AVG_Signal	KHYG1_si308_a.Avg_NBEADS	KHYG1_si308_a.BEAD_STDERR	KHYG1_si308_a.Detection Pval
ILMN_1762337	97.29568	25	3.738775	0.6064935
ILMN_2055271	120.9243	26	4.040218	0.002597403
ILMN_1736007	102.3634	21	3.614486	0.2233766
ILMN_2383229	99.09032	25	3.532955	0.4532467
ILMN_1806310	99.60715	19	3.477567	0.4194805
ILMN_1779670	94.96638	16	2.976481	0.7974026
ILMN_1653355	104.6604	18	3.13011	0.1181818
ILMN_1717783	93.28719	13	3.855786	0.9038961
ILMN_1705025	100.0149	22	2.546629	0.3857143
ILMN_1814316	100.4403	21	3.331242	0.3480519
ILMN_2359168	108.0833	24	4.912873	0.05064935
ILMN_1731507	96.279	18	1.995962	0.6974026
ILMN_1787689	96.8463	21	3.280517	0.6467533
ILMN_3241953	214.253	23	7.194657	0
ILMN_1745607	90.1636	19	2.991429	0.9883117
ILMN_2136495	95.29868	20	3.11009	0.7766234
ILMN_1668111	98.97245	25	2.723633	0.4649351
ILMN_2295559	97.13467	15	4.024673	0.6155844
ILMN_1735045	92.96419	28	2.142561	0.9207792
ILMN_1680754	110.913	18	4.807742	0.01948052
ILMN_2375184	97.61994	21	1.957377	0.5753247
ILMN_1659452	102.9773	27	2.838184	0.1948052
ILMN_1767388	108.2038	29	3.652488	0.04675325
ILMN_1675204	90.74866	21	2.35477	0.9805195
ILMN_1673870	96.41651	27	2.540129	0.6883117
ILMN_1755321	125.8196	25	3.232138	0.001298701
ILMN_1698554	141.4511	19	5.335175	0
ILMN_1814092	109.1031	17	3.908823	0.02727273
ILMN_1760414	107.6739	36	3.12496	0.05714286
ILMN_2061446	186.8151	18	9.341175	0
ILMN_1676336	143.9687	26	4.660565	0
ILMN_1752884	89.07854	23	2.163558	0.9961039
ILMN_1660703	110.4236	13	3.758071	0.02077922
ILMN_1668851	94.59439	16	2.525276	0.8298701
ILMN_2270015	99.3015	27	2.150975	0.4363636
ILMN_1809959	100.7759	19	4.720442	0.3298701
ILMN_2357031	93.9846	21	2.52324	0.861039
ILMN_1726986	101.8696	17	4.169422	0.2532468
ILMN_3237396	233.7946	24	9.068842	0
ILMN_1688755	156.656	24	5.14053	0
ILMN_1880387	98.7589	16	3.530291	0.4753247
ILMN_1689211	98.44984	23	2.473807	0.5038961
ILMN_1653165	162.1612	20	4.459743	0
ILMN_1729835	93.54829	18	2.433155	0.8857143
ILMN_1662364	1675.296	32	57.05586	0
ILMN_1674698	163.106	27	4.098198	0
ILMN_1700461	359.5195	23	15.35565	0
ILMN_1784269	146.829	31	3.774383	0
ILMN_1698189	213.1158	14	6.764179	0
ILMN_2096191	502.3792	25	16.89097	0
ILMN_1678323	110.3382	15	4.629398	0.02077922
ILMN_2157219	96.4045	18	3.078477	0.6896104
ILMN_1703743	462.9709	25	14.43176	0
ILMN_1687609	107.3967	13	4.680443	0.06233766
ILMN_2068874	98.14099	12	3.224064	0.5311688
ILMN_1699334	125.9729	19	5.211937	0.001298701
ILMN_1670117	98.00657	19	1.637212	0.5454546
ILMN_1805104	95.33495	18	2.272626	0.7727273
ILMN_2404407	101.6347	20	3.277383	0.2766234
ILMN_1766054	92.64021	18	2.187191	0.9272727
ILMN_1753388	96.48416	23	3.1067	0.6779221
ILMN_2070570	106.027	25	2.747556	0.07922078
ILMN_2232084	99.9073	18	3.38116	0.3974026
ILMN_1750250	98.7128	16	2.97149	0.4818182
ILMN_2361400	95.80981	19	2.41168	0.7337663
ILMN_1704579	94.69018	23	2.523959	0.8246753
ILMN_1687636	99.91628	16	3.011318	0.3961039
ILMN_1747627	118.9629	18	4.751398	0.003896104
ILMN_1758523	137.3493	26	4.356477	0
ILMN_1794965	91.88448	33	2.06194	0.9545454
ILMN_1722286	96.28319	21	3.270835	0.6974026
ILMN_1784176	95.13746	20	3.173473	0.7883117
ILMN_1749001	99.49555	19	4.14512	0.425974
ILMN_1701551	96.16871	14	2.590912	0.7038961
ILMN_1795507	105.2434	20	3.010283	0.0961039
ILMN_1729894	94.43054	18	3.914821	0.8376623
ILMN_1743205	962.5908	17	32.76655	0
ILMN_2259319	91.81493	21	1.928367	0.9558442
ILMN_2129886	97.01457	20	3.639964	0.6285715
ILMN_1796801	105.39	19	3.579079	0.09090909
ILMN_1720501	104.9063	32	2.423937	0.1064935
ILMN_1668446	92.91351	18	3.296077	0.9233766
ILMN_1812070	154.7505	15	5.193517	0
ILMN_2094875	107.7993	17	5.172906	0.05454545
ILMN_1665730	219.3023	18	6.48375	0
