Illumina Inc. BeadStudio version 1.9.0.24624				
Normalization = none				
Array Content = HumanHT-12_V4_0_R2_15002873_B.bgx				
Error Model = Illumina custom				
DateTime = 02/24/2016 05:00 PM				
Local Settings = en-US				
				
PROBE_ID	KHYG1_si308_b.AVG_Signal	KHYG1_si308_b.Avg_NBEADS	KHYG1_si308_b.BEAD_STDERR	KHYG1_si308_b.Detection Pval
ILMN_1762337	98.00712	18	3.126585	0.4038961
ILMN_2055271	117.848	16	3.185692	0.002597403
ILMN_1736007	96.74239	19	3.2997	0.4948052
ILMN_2383229	96.3225	25	3.602802	0.5324675
ILMN_1806310	97.01903	18	4.2719	0.4766234
ILMN_1779670	95.28371	22	1.703999	0.6181818
ILMN_1653355	93.11256	9	2.710116	0.8168831
ILMN_1717783	89.82506	19	3.706152	0.9636363
ILMN_1705025	99.27758	20	3.215454	0.3103896
ILMN_1814316	90.62316	16	1.057125	0.9363636
ILMN_2359168	86.80209	17	2.171971	0.9974026
ILMN_1731507	91.16402	21	2.377121	0.9155844
ILMN_1787689	100.2373	20	3.018229	0.2532468
ILMN_3241953	196.5379	20	4.464148	0
ILMN_1745607	89.2474	23	2.645611	0.9766234
ILMN_2136495	90.2883	18	2.236194	0.9532468
ILMN_1668111	98.58202	21	2.966505	0.3493507
ILMN_2295559	93.66235	22	2.786942	0.7649351
ILMN_1735045	96.01073	26	2.633977	0.5584416
ILMN_1680754	116.385	15	6.668261	0.002597403
ILMN_2375184	100.3137	26	2.805523	0.2467532
ILMN_1659452	99.00507	21	2.190449	0.3233766
ILMN_1767388	99.67229	25	3.223675	0.2844156
ILMN_1675204	96.18891	29	2.055214	0.5467532
ILMN_1673870	98.90434	21	3.036466	0.3298701
ILMN_1755321	116.6363	25	2.99543	0.002597403
ILMN_1698554	139.8789	23	4.007073	0
ILMN_1814092	107.8507	9	5.543448	0.02857143
ILMN_1760414	99.02763	16	3.054379	0.3220779
ILMN_2061446	177.5057	17	4.982898	0
ILMN_1676336	143.5722	29	5.298953	0
ILMN_1752884	91.25066	14	1.567779	0.9077922
ILMN_1660703	93.838	20	2.535796	0.7532467
ILMN_1668851	86.67135	18	2.205974	0.9974026
ILMN_2270015	101.3823	20	2.740189	0.1974026
ILMN_1809959	90.75801	20	4.092551	0.9324675
ILMN_2357031	93.67193	23	2.499005	0.7636364
ILMN_1726986	93.45776	16	3.235112	0.7883117
ILMN_3237396	212.4762	19	6.028138	0
ILMN_1688755	144.1474	21	5.045234	0
ILMN_1880387	89.53831	17	1.99514	0.9688312
ILMN_1689211	99.79139	21	2.910169	0.2753247
ILMN_1653165	171.0145	26	5.837668	0
ILMN_1729835	94.95574	25	3.031351	0.6506494
ILMN_1662364	1544.252	19	55.03024	0
ILMN_1674698	174.0639	21	6.96695	0
ILMN_1700461	375.9003	19	14.54523	0
ILMN_1784269	133.0007	21	3.833359	0
ILMN_1698189	199.057	26	7.457901	0
ILMN_2096191	532.2336	16	34.37717	0
ILMN_1678323	101.7231	24	3.450937	0.1805195
ILMN_2157219	102.2722	35	2.15806	0.151948
ILMN_1703743	425.2619	28	10.52055	0
ILMN_1687609	106.4	16	3.060575	0.05194805
ILMN_2068874	94.69302	21	2.007668	0.6792208
ILMN_1699334	134.9224	11	10.28194	0
ILMN_1670117	99.0695	22	1.335673	0.3168831
ILMN_1805104	90.64437	21	2.621965	0.9363636
ILMN_2404407	92.7222	17	2.615518	0.848052
ILMN_1766054	94.59314	15	3.637387	0.687013
ILMN_1753388	97.97792	26	2.629355	0.4038961
ILMN_2070570	94.96134	23	3.657894	0.6506494
ILMN_2232084	98.23502	26	2.275127	0.3805195
ILMN_1750250	95.2844	30	2.722828	0.6181818
ILMN_2361400	93.54856	28	2.283726	0.7818182
ILMN_1704579	94.89279	18	3.556924	0.6584415
ILMN_1687636	102.2476	20	3.123559	0.1545455
ILMN_1747627	117.9217	25	3.258043	0.001298701
ILMN_1758523	134.8412	27	3.63342	0
ILMN_1794965	91.00379	29	2.084046	0.9246753
ILMN_1722286	92.04422	21	2.981971	0.8805195
ILMN_1784176	99.12437	19	3.308888	0.3142857
ILMN_1749001	94.45896	23	1.812402	0.6987013
ILMN_1701551	94.02578	17	3.338773	0.7376623
ILMN_1795507	98.90207	25	2.206188	0.3298701
ILMN_1729894	101.6423	23	2.556567	0.1831169
ILMN_1743205	885.8345	19	47.57192	0
ILMN_2259319	95.62828	21	2.808827	0.5896104
ILMN_2129886	91.02899	22	1.640473	0.9246753
ILMN_1796801	100.745	18	3.495153	0.2298701
ILMN_1720501	105.5324	24	3.33797	0.06103896
ILMN_1668446	101.3557	15	3.718669	0.1974026
ILMN_1812070	160.494	20	7.270123	0
ILMN_2094875	105.0074	12	4.011111	0.07662338
ILMN_1665730	222.1336	13	8.539876	0
ILMN_2232066	101.9542	24	2.703975	0.174026
ILMN_1767349	91.44691	25	1.319831	0.9
ILMN_1658257	91.96015	22	3.194307	0.8831169
ILMN_2193980	108.4019	12	4.557711	0.02337662
ILMN_1687840	194.1152	22	5.090828	0
ILMN_2102422	96.37714	21	3.015936	0.5220779
ILMN_1788928	105.562	18	3.016693	0.05974026
ILMN_2343047	97.35307	15	2.299521	0.451948
ILMN_2343048	97.93098	19	2.25666	0.412987
ILMN_2335302	92.71169	22	3.203637	0.8493506
ILMN_1802404	107.2419	25	3.696049	0.03896104
ILMN_1776119	105.3705	26	2.730208	0.06233766
ILMN_2358714	89.2148	20	1.765696	0.9779221
ILMN_1732140	103.0381	16	3.341296	0.1311688
ILMN_1713008	98.46051	19	2.265642	0.361039
ILMN_1762093	96.90014	26	3.618356	0.4857143
ILMN_1709092	98.83058	27	1.728294	0.3363636
ILMN_1678409	104.4812	18	2.0466	0.08831169
ILMN_1774344	100.9534	20	2.63111	0.2142857
ILMN_1676278	102.9829	11	5.093682	0.1337662
ILMN_1717466	104.926	17	3.874259	0.07922078
ILMN_1677814	94.51182	20	3.597611	0.6922078
ILMN_1788457	179.7422	28	6.287579	0
ILMN_2194009	179.1383	23	5.6823	0
ILMN_2302358	88.02629	22	3.022871	0.9896104
ILMN_1706531	163.0992	17	5.562727	0
ILMN_1651964	130.4544	22	2.80652	0
ILMN_1725675	102.21	34	2.710711	0.1558442
ILMN_1778352	97.71377	28	2.650161	0.4272727
ILMN_1725414	110.5213	23	4.263935	0.01428571
ILMN_2293902	91.75745	26	2.799579	0.8922078
ILMN_1801521	97.0162	15	3.099395	0.4766234
ILMN_2406654	104.2577	23	2.979394	0.08961039
ILMN_3246902	102.8864	17	3.531331	0.1363636
ILMN_3244070	110.3849	15	5.857776	0.01428571
ILMN_1767129	100.1992	23	3.582671	0.2571429
ILMN_1746196	100.4104	20	3.459802	0.2441558
ILMN_2366473	109.9748	21	4.431556	0.01688312
ILMN_1751453	94.76824	17	2.327332	0.6714286
ILMN_1772189	92.91867	25	2.046434	0.8324676
ILMN_1652959	98.36249	23	2.926692	0.3701299
ILMN_2198897	94.40931	19	2.511232	0.7012987
ILMN_1674032	148.467	24	6.24933	0
ILMN_1737656	92.68584	20	1.974998	0.851948
ILMN_2343917	93.40843	18	2.256911	0.7974026
ILMN_1746032	94.92388	18	4.007989	0.6532468
ILMN_1651501	98.75359	21	2.706329	0.3428572
ILMN_2330267	610.1432	21	26.87867	0
ILMN_1676846	448.738	21	10.42519	0
ILMN_2392635	373.9499	20	15.03443	0
ILMN_1763875	1306.022	36	36.26043	0
ILMN_2284941	95.04787	24	2.370085	0.6337662
ILMN_1781999	228.6574	20	6.043972	0
ILMN_1669201	149.8066	22	5.338995	0
ILMN_1810085	110.553	20	3.252662	0.01428571
ILMN_2262362	118.0676	19	5.872005	0.001298701
ILMN_1743638	113.5563	18	6.405086	0.007792208
ILMN_1658176	114.9402	21	3.092678	0.005194805
ILMN_2329927	91.04388	21	1.93556	0.9246753
ILMN_1794782	101.4177	16	4.713539	0.1961039
ILMN_1695968	91.23465	15	2.436317	0.9077922
ILMN_1789641	107.8806	18	2.989121	0.02857143
ILMN_1779470	105.358	23	2.496193	0.06233766
ILMN_1716592	98.22382	22	2.722871	0.3831169
ILMN_1680309	100.2326	18	3.78212	0.2532468
ILMN_1743371	103.1396	23	2.322935	0.1298701
ILMN_1770031	274.3863	24	7.042926	0
ILMN_2338268	186.5027	19	4.824061	0
ILMN_1753912	102.7519	20	3.403305	0.1402597
ILMN_1737475	183.2333	23	5.840931	0
ILMN_1745116	123.3842	17	4.917226	0.001298701
ILMN_2318685	126.3518	15	4.029246	0
ILMN_2245305	148.035	17	2.310661	0
ILMN_1707925	94.5051	17	3.033192	0.6922078
ILMN_1698311	100.1032	25	2.69042	0.2571429
ILMN_2367487	98.33683	23	2.788985	0.3727273
ILMN_1785285	99.03934	20	2.591682	0.3194805
ILMN_2073969	104.6678	19	2.398249	0.08441558
ILMN_1794213	345.1267	24	10.2324	0
ILMN_2227533	149.5893	25	4.510474	0
ILMN_1769390	160.9369	19	9.373094	0
ILMN_2403446	110.7661	20	4.390339	0.01298701
ILMN_1787618	97.08533	24	2.293591	0.4688312
ILMN_1723662	108.4045	18	2.420024	0.02337662
ILMN_1801767	315.1308	11	18.48682	0
ILMN_1700633	101.1434	23	2.92646	0.2077922
ILMN_1655702	143.8058	17	5.742702	0
ILMN_1706344	221.7726	20	4.969661	0
ILMN_1719498	100.8613	21	3.624913	0.2194805
ILMN_1712707	102.3825	25	2.873555	0.1467533
ILMN_1699750	103.5548	28	2.834238	0.112987
ILMN_1739081	97.51268	15	2.439384	0.438961
ILMN_2329958	214.7405	19	7.09608	0
ILMN_1775944	112.0589	13	2.866959	0.01038961
ILMN_1724497	256.5461	18	7.164301	0
ILMN_1720988	122.215	24	3.310739	0.001298701
ILMN_1707274	98.52629	18	2.714266	0.3545454
ILMN_1755658	157.5446	11	5.29059	0
ILMN_1673639	96.54279	15	3.757403	0.5090909
ILMN_1713732	136.9889	18	5.194796	0
ILMN_1708922	99.32111	24	1.50296	0.3103896
ILMN_2268241	102.223	21	3.12503	0.1558442
ILMN_1741628	96.33743	34	1.902019	0.5311688
ILMN_1657870	94.76678	35	1.761204	0.6714286
ILMN_2240003	103.9536	19	2.624234	0.0987013
ILMN_1785424	398.6833	26	12.71454	0
ILMN_1731610	113.9182	19	3.544536	0.007792208
ILMN_1696682	99.23851	20	2.671649	0.3103896
ILMN_2396672	202.4207	22	7.660741	0
ILMN_1758825	97.18314	12	3.042753	0.4623377
ILMN_1656940	93.82202	20	2.999033	0.7558442
ILMN_1656979	94.27917	19	1.661409	0.7181818
ILMN_1731433	95.98846	22	2.443698	0.5597402
ILMN_1672878	469.5479	24	15.97538	0
ILMN_1655114	106.8896	20	3.229216	0.04675325
ILMN_1657045	95.598	15	3.172344	0.5909091
ILMN_1766991	96.31528	27	2.282977	0.5324675
ILMN_1658083	153.7582	23	7.153335	0
