Illumina Inc. BeadStudio version 1.9.0.24624				
Normalization = none				
Array Content = HumanHT-12_V4_0_R2_15002873_B.bgx				
Error Model = Illumina custom				
DateTime = 02/24/2016 05:00 PM				
Local Settings = en-US				
				
PROBE_ID	KHYG1_si308_c.AVG_Signal	KHYG1_si308_c.Avg_NBEADS	KHYG1_si308_c.BEAD_STDERR	KHYG1_si308_c.Detection Pval
ILMN_1762337	94.58835	23	2.512063	0.6675324
ILMN_2055271	110.4024	23	3.491865	0.02207792
ILMN_1736007	96.07012	23	2.135271	0.5571429
ILMN_2383229	99.11132	17	2.038632	0.2974026
ILMN_1806310	103.032	18	3.225136	0.1194805
ILMN_1779670	98.82441	23	1.997598	0.3207792
ILMN_1653355	105.0239	31	2.996677	0.07012987
ILMN_1717783	96.41309	27	3.050669	0.5285714
ILMN_1705025	99.20082	20	3.855186	0.2935065
ILMN_1814316	100.2837	22	2.76695	0.2337662
ILMN_2359168	92.23278	35	2.04789	0.8402597
ILMN_1731507	95.40572	10	5.908431	0.6077922
ILMN_1787689	103.3813	29	3.166431	0.1142857
ILMN_3241953	173.4247	24	6.311437	0
ILMN_1745607	92.18768	25	2.937371	0.8415585
ILMN_2136495	95.51654	16	2.787458	0.5974026
ILMN_1668111	98.86669	20	3.189596	0.3181818
ILMN_2295559	96.64353	7	8.318205	0.5116883
ILMN_1735045	94.30933	27	2.091219	0.6961039
ILMN_1680754	110.5295	16	4.257385	0.02207792
ILMN_2375184	93.25978	14	4.176075	0.7623377
ILMN_1659452	101.4356	23	3.557597	0.1766234
ILMN_1767388	101.7543	20	3.504426	0.1623377
ILMN_1675204	90.15206	19	2.18012	0.9363636
ILMN_1673870	93.60218	19	4.078234	0.7402598
ILMN_1755321	119.1585	20	3.023714	0
ILMN_1698554	137.6334	22	3.837824	0
ILMN_1814092	103.8919	21	3.305698	0.0948052
ILMN_1760414	93.9604	20	3.176354	0.7194805
ILMN_2061446	168.4714	20	6.3576	0
ILMN_1676336	134.9422	16	6.885664	0
ILMN_1752884	98.62154	29	3.156595	0.338961
ILMN_1660703	94.76122	16	2.713009	0.6584415
ILMN_1668851	94.92727	19	2.197788	0.6454545
ILMN_2270015	94.30566	23	2.953333	0.6961039
ILMN_1809959	91.47787	16	2.33345	0.8909091
ILMN_2357031	96.93952	20	1.710167	0.4779221
ILMN_1726986	97.34205	19	4.472662	0.4363636
ILMN_3237396	202.2387	21	9.74209	0
ILMN_1688755	138.3667	12	3.723247	0
ILMN_1880387	97.76492	24	3.293522	0.4038961
ILMN_1689211	97.4698	13	3.292027	0.425974
ILMN_1653165	167.3895	20	7.10534	0
ILMN_1729835	92.01791	23	2.776418	0.8545455
ILMN_1662364	1518.549	19	57.45041	0
ILMN_1674698	150.3574	18	4.89825	0
ILMN_1700461	379.0778	22	21.4066	0
ILMN_1784269	130.7165	24	4.113944	0
ILMN_1698189	184.3277	20	5.890936	0
ILMN_2096191	390.043	18	19.4351	0
ILMN_1678323	104.1707	23	2.468959	0.08701298
ILMN_2157219	97.65688	15	2.272572	0.4116883
ILMN_1703743	435.8149	24	17.61533	0
ILMN_1687609	122.22	15	8.681029	0
ILMN_2068874	90.50556	29	2.406155	0.9233766
ILMN_1699334	128.5972	21	5.524822	0
ILMN_1670117	96.51551	22	2.677575	0.5220779
ILMN_1805104	93.61769	17	3.916289	0.7402598
ILMN_2404407	92.47277	15	3.758913	0.8233766
ILMN_1766054	96.36427	23	3.475688	0.5324675
ILMN_1753388	97.75314	16	3.005312	0.4038961
ILMN_2070570	99.63471	28	2.96713	0.2675325
ILMN_2232084	96.69839	20	2.173848	0.5064935
ILMN_1750250	101.0315	11	6.39752	0.1922078
ILMN_2361400	92.15314	25	2.543015	0.8415585
ILMN_1704579	86.4805	30	1.785035	0.9922078
ILMN_1687636	94.61008	14	1.901202	0.6675324
ILMN_1747627	110.6795	17	3.810646	0.02077922
ILMN_1758523	158.4866	27	7.580145	0
ILMN_1794965	99.88718	27	2.916338	0.2532468
ILMN_1722286	91.32396	19	2.87182	0.8961039
ILMN_1784176	95.16989	29	2.694176	0.6246753
ILMN_1749001	93.53975	22	3.424289	0.7428572
ILMN_1701551	92.96548	20	3.038358	0.7857143
ILMN_1795507	100.8598	21	3.180367	0.1987013
ILMN_1729894	95.78125	22	2.834143	0.5805195
ILMN_1743205	1032.294	22	54.11596	0
ILMN_2259319	95.59573	21	2.693432	0.5935065
ILMN_2129886	96.01398	16	3.888317	0.5636364
ILMN_1796801	114.5512	18	4.30777	0.002597403
ILMN_1720501	101.5075	24	3.535746	0.174026
ILMN_1668446	99.2789	25	2.894783	0.2922078
ILMN_1812070	142.7643	21	4.73863	0
ILMN_2094875	102.1718	20	2.938837	0.1467533
ILMN_1665730	179.3092	17	6.989044	0
ILMN_2232066	100.6195	21	3.41249	0.2103896
ILMN_1767349	96.02505	24	2.433409	0.5623376
ILMN_1658257	91.89085	21	3.038671	0.864935
ILMN_2193980	113.7303	20	2.987371	0.005194805
ILMN_1687840	163.9986	15	5.171911	0
ILMN_2102422	95.20454	26	3.209028	0.6233766
ILMN_1788928	97.84921	14	2.274119	0.4
ILMN_2343047	97.59747	12	3.602316	0.4155844
ILMN_2343048	101.6968	18	3.160073	0.1636364
ILMN_2335302	94.18336	29	2.746646	0.7051948
ILMN_1802404	98.58925	18	2.923801	0.3415585
ILMN_1776119	101.9212	20	3.157059	0.1571429
ILMN_2358714	89.96984	24	2.073546	0.9441559
ILMN_1732140	99.97976	22	2.836773	0.2480519
ILMN_1713008	96.991	26	3.004344	0.4714286
ILMN_1762093	103.6744	21	3.710055	0.1038961
